ID_produit;userRef;stock;ean13;description;bullet_points;etat_produit;Prix_vente_mini;Prix_vente_conseil;Categorie;title;weight;Photo1;Photo2;Photo3;Photo4;Photo5;Photo6;supplier;taxRate;isPack;height;length;width;otherRef1;Mode_transport;Prix_achat;Prix_transport;otherRef5;otherRef6;otherRef7;otherRef8;otherRef9;otherRef10;otherRef11;otherRef14
;EAN3760317921043;0;3760317921043;;;;;;;PACK D ZERB COLORS BLEU + CARTOUCHE DE GAZ - BHCB+CG;400;https://images-na.ssl-images-amazon.com/images/I/41WeTTZFMEL.jpg;;;;;;START;2000;true;100;1000;200;;COL;1945;463;B08CVFRSBF;;;;;;;
;EAN3760059707653;0;3760059707653;;;;;;;START - VINAIGRE BLANC 14° PAE 10L - VI10 - ;11000;https://images-na.ssl-images-amazon.com/images/I/31y1lNHnqnS.jpg;;;;;;START;2000;false;292;402;313;;AMZS;1060;1160;B093L5MPY7;TERREAU;;;VI10;;5;
;EAN3760059703303;0;3760059703303;;;;;;;START - SULFATE DE FER FLUIDISE 5KG - SFF5 - ;5000;https://images-na.ssl-images-amazon.com/images/I/41fZEde9FhS.jpg;;;;;;START;1000;false;180;320;250;OK;AMZSok;491;642;B093L5XGJ5;TERREAU;;;SFF5;;5;
;EAN3760059700890;0;3760059700890;;;;;;;START - CORNE BROYEE SAC 5 KG - CB5 - ;5000;https://images-na.ssl-images-amazon.com/images/I/51fGEG-YwQS.jpg;;;;;;START;1000;false;5300;3000;400;;AMZS;851;738;B093L6MQHS;TERREAU;;;CB5;;5;
;EAN3760059705413;0;3760059705413;;;;;;;START - PIEGE ANTI NUISIBLES/NASSE METALLIQUE PETIT MODELE - NPM - ;546;https://images-na.ssl-images-amazon.com/images/I/210O07ZFj8S.jpg;;;;;;START;2000;false;430;220;30;;AMZSok;692;476;;;;;NPM;;8;
;EAN3760059707523;0;3760059707523;;;;;;;START - ENGRAIS LAURIERS ROSES ET PALMIERS UAB 1KG - ELR1_V2 - ATTENTION NE PAS RECOMMANDER SANS CONTROLE PRIX CAR PRODUIT DESTOCKE;1120;https://images-na.ssl-images-amazon.com/images/I/31R55ebOicS.jpg;;;;;;START;1000;false;300;170;65;;AMZSok;269;476;B093L3SSYL;;;;ELR1_v2;;12;
;EAN3700123853602;0;3700123853602;;;;;;;START - STATION DE TEMPERATURES ET D’HYGROMETRIES AVEC CONFORIMETRE - WS9070 - ;252;https://images-na.ssl-images-amazon.com/images/I/41af3nvtOBL.jpg;;;;;;START;2000;false;210;110;60;;AMZSok;3112;426;;;;;WS9070;;1;
;EAN3760059705123;0;3760059705123;;;;;;;START - PURIN DE FOUGÈRES 2L - PF2 - ;2100;https://images-na.ssl-images-amazon.com/images/I/41nFZEDagkL.jpg;;;;;;START;1000;false;245;135;85;;AMZSok;673;476;;;;;PF2;;6;
;EAN3700123854715;0;3700123854715;;;;;;;START - HORLOGE MURALE - WS8006BLA-SIL - ;360;https://images-na.ssl-images-amazon.com/images/I/41rAvb5+DxL.jpg;;;;;;START;2000;false;450;1850;2150;;AMZS;2418;426;;;;;WS8006BLA-SIL;;1;
;EAN3760059706878;0;3760059706878;;;;;;;START - VINAIGRE BLANC 14° PAE 20L - VI20 - ;;https://images-na.ssl-images-amazon.com/images/I/41b+cAvSH-S.jpg;;;;;;START;2000;false;;;;;COL;2014;1699;;TERREAU;;;VI20;;1;
;EAN3760059702634;0;3760059702634;;;;;;;START - CARTOUCHES DE GAZ BRUL'STAR 300G 545 ML/UN 2037 QL - CG - ;305;https://images-na.ssl-images-amazon.com/images/I/31JHptyObcL.jpg;;;;;;START;2000;false;2700;700;700;OK;AMZS;406;392;B00EF5Y12O;;;;CG;;24;
;EANSAC4X6;0;SAC4X6;;;;;;;SACHET 4X6 PAR 100;;;;;;;;TECPLAST;2000;false;;;;;;50;;;;;;;;;
;SLBPE3528;0;SLBPE3528;;;;;;;SACHET ZIP 350X280 LOT DE 100;105;;;;;;;TECPLAST;2000;false;;;;;;13;;;;;;;;;
;EAN3760237961334;0;3760237961334;;;;;;;BACHE POLYETHYLENE AVEC OEUILLETS 6X10M MAISON JARDIN PISCINE LOISIRS MARRON/GREEN;;;;;;;;TECPLAST;2000;false;;;;;;1;;;;;;;;;
;EAN3223100;0;3223100;;;;;;;SACHET PLASTIQUE 230 X 320 MM FERMETURE ZIP TRANSPARENT LOT DE 100 PR0601;;;;;;;;TECPLAST;2000;false;;;;;COL;3670;;;;;;;;;
;sacP50LX500;0;sacP50LX500;;;;;;;CARTON DE 500 SAC POUBELLE 50LITRES;;;;;;;;TECPLAST;2000;false;;;;;COL;5100;;;;;;;;;
;EANsacP50LX500;0;sacP50LX500;;;;;;;CARTON DE 500 SAC POUBELLE 50LITRES;;;;;;;;TECPLAST;2000;false;;;;;col;5100;;;;;;;;;
;EAN3760237961020;0;3760237961020;;;;;;;BACHE 2X3 BLEU PR0836;;;;;;;;TECPLAST;2000;false;;;;OK;;183;518;;;;;;;1;
